DATE,MRTSSM4453USN
1992-01-01,1509
1992-02-01,1541
1992-03-01,1597
1992-04-01,1675
1992-05-01,1822
1992-06-01,1775
1992-07-01,1912
1992-08-01,1862
1992-09-01,1770
1992-10-01,1882
1992-11-01,1831
1992-12-01,2511
1993-01-01,1614
1993-02-01,1529
1993-03-01,1678
1993-04-01,1713
1993-05-01,1796
1993-06-01,1792
1993-07-01,1950
1993-08-01,1777
1993-09-01,1707
1993-10-01,1757
1993-11-01,1782
1993-12-01,2443
1994-01-01,1548
1994-02-01,1505
1994-03-01,1714
1994-04-01,1757
1994-05-01,1830
1994-06-01,1857
1994-07-01,1981
1994-08-01,1858
1994-09-01,1823
1994-10-01,1806
1994-11-01,1845
1994-12-01,2577
1995-01-01,1555
1995-02-01,1501
1995-03-01,1725
1995-04-01,1699
1995-05-01,1807
1995-06-01,1863
1995-07-01,1886
1995-08-01,1861
1995-09-01,1845
1995-10-01,1788
1995-11-01,1879
1995-12-01,2598
1996-01-01,1679
1996-02-01,1652
1996-03-01,1837
1996-04-01,1798
1996-05-01,1957
1996-06-01,1958
1996-07-01,2034
1996-08-01,2062
1996-09-01,1781
1996-10-01,1860
1996-11-01,1992
1996-12-01,2547
1997-01-01,1706
1997-02-01,1621
1997-03-01,1853
1997-04-01,1817
1997-05-01,2060
1997-06-01,2002
1997-07-01,2098
1997-08-01,2079
1997-09-01,1892
1997-10-01,2050
1997-11-01,2082
1997-12-01,2821
1998-01-01,1846
1998-02-01,1768
1998-03-01,1894
1998-04-01,1963
1998-05-01,2140
1998-06-01,2059
1998-07-01,2209
1998-08-01,2118
1998-09-01,2031
1998-10-01,2163
1998-11-01,2154
1998-12-01,3037
1999-01-01,1866
1999-02-01,1808
1999-03-01,1986
1999-04-01,2099
1999-05-01,2210
1999-06-01,2145
1999-07-01,2339
1999-08-01,2140
1999-09-01,2126
1999-10-01,2219
1999-11-01,2273
1999-12-01,3265
2000-01-01,1920
2000-02-01,1976
2000-03-01,2190
2000-04-01,2132
2000-05-01,2357
2000-06-01,2413
2000-07-01,2463
2000-08-01,2422
2000-09-01,2358
2000-10-01,2352
2000-11-01,2549
2000-12-01,3375
2001-01-01,2109
2001-02-01,2052
2001-03-01,2327
2001-04-01,2231
2001-05-01,2470
2001-06-01,2526
2001-07-01,2483
2001-08-01,2518
2001-09-01,2316
2001-10-01,2409
2001-11-01,2638
2001-12-01,3542
2002-01-01,2114
2002-02-01,2109
2002-03-01,2366
2002-04-01,2300
2002-05-01,2569
2002-06-01,2486
2002-07-01,2568
2002-08-01,2595
2002-09-01,2297
2002-10-01,2401
2002-11-01,2601
2002-12-01,3488
2003-01-01,2121
2003-02-01,2046
2003-03-01,2273
2003-04-01,2333
2003-05-01,2576
2003-06-01,2433
2003-07-01,2611
2003-08-01,2660
2003-09-01,2461
2003-10-01,2641
2003-11-01,2660
2003-12-01,3654
2004-01-01,2293
2004-02-01,2219
2004-03-01,2398
2004-04-01,2553
2004-05-01,2685
2004-06-01,2643
2004-07-01,2867
2004-08-01,2622
2004-09-01,2618
2004-10-01,2727
2004-11-01,2763
2004-12-01,3801
2005-01-01,2219
2005-02-01,2316
2005-03-01,2530
2005-04-01,2640
2005-05-01,2709
2005-06-01,2783
2005-07-01,2924
2005-08-01,2791
2005-09-01,2784
2005-10-01,2801
2005-11-01,2933
2005-12-01,4137
2006-01-01,2424
2006-02-01,2519
2006-03-01,2753
